Latitude,Longitude,Ellps Height (m),Geoid Height (m),Ortho Height (m)
49.21484,-124.258049,3284.22,-16.54,3300.76
49.215118,-124.252625,3268.98,-16.56,3285.54
49.215317,-124.246353,3253.74,-16.57,3270.31
49.215446,-124.240555,3238.5,-16.59,3255.09
49.215546,-124.234596,3230.88,-16.61,3247.49
49.215679,-124.229492,3215.64,-16.62,3232.26
49.21619,-124.205864,3147.06,-16.69,3163.75
49.216747,-124.182655,3086.1,-16.76,3102.86
49.217285,-124.159378,3017.52,-16.83,3034.35
49.217773,-124.13546,2956.56,-16.9,2973.46
49.218246,-124.111214,2887.98,-16.98,2904.96
49.218658,-124.088264,2827.02,-17.06,2844.08
49.219124,-124.064125,2758.44,-17.15,2775.59
49.219589,-124.040779,2697.48,-17.26,2714.74
49.2201,-124.016777,2628.9,-17.37,2646.27
49.220657,-123.994011,2567.94,-17.48,2585.42
49.221218,-123.97081,2506.98,-17.6,2524.58
49.221775,-123.948402,2446.02,-17.72,2463.74
49.222286,-123.926285,2385.06,-17.83,2402.89
49.222801,-123.90229,2324.1,-17.93,2342.03
49.223236,-123.879791,2255.52,-18.02,2273.54
49.223648,-123.856979,2194.56,-18.11,2212.67
49.224014,-123.83493,2133.6,-18.19,2151.79
49.22438,-123.81282,2080.26,-18.27,2098.53
49.224747,-123.791061,2019.3,-18.34,2037.64
49.225174,-123.768143,1958.34,-18.41,1976.75
49.225594,-123.746605,1897.38,-18.49,1915.87
49.226059,-123.723618,1836.42,-18.58,1855
49.226532,-123.702179,1775.46,-18.66,1794.12
49.226898,-123.683098,1729.74,-18.74,1748.48
49.227402,-123.658028,1661.16,-18.83,1679.99
49.227779,-123.639778,1607.82,-18.89,1626.71
49.228134,-123.618515,1546.86,-18.96,1565.82
49.2285,-123.595627,1485.9,-19.03,1504.93
49.228714,-123.581589,1447.8,-19.05,1466.85
49.228867,-123.573235,1424.94,-19.07,1444.01
49.228958,-123.56147,1394.46,-19.09,1413.55
49.228619,-123.551666,1356.36,-19.11,1375.47
49.228245,-123.546249,1341.12,-19.11,1360.23
49.227768,-123.541473,1318.26,-19.12,1337.38
49.227264,-123.5364,1295.4,-19.13,1314.53
49.226665,-123.531212,1280.16,-19.14,1299.3
49.226105,-123.526367,1257.3,-19.15,1276.45
49.225407,-123.520592,1234.44,-19.15,1253.59
49.224895,-123.516396,1211.58,-19.16,1230.74
49.224243,-123.511116,1188.72,-19.17,1207.89
49.223602,-123.50605,1173.48,-19.18,1192.66
49.222382,-123.495728,1127.76,-19.19,1146.95
49.221313,-123.486328,1097.28,-19.2,1116.48
49.220352,-123.477455,1059.18,-19.21,1078.39
49.219299,-123.468018,1028.7,-19.22,1047.92
49.218384,-123.459709,998.22,-19.23,1017.45
49.217468,-123.451256,967.74,-19.24,986.98
49.216377,-123.441658,929.64,-19.26,948.9
49.2155,-123.433296,899.16,-19.27,918.43
49.214653,-123.425179,861.06,-19.28,880.34
49.213676,-123.416435,830.58,-19.29,849.87
49.212799,-123.408508,800.1,-19.31,819.41
49.211906,-123.400826,769.62,-19.32,788.94
49.210976,-123.392799,739.14,-19.33,758.47
49.210136,-123.385139,708.66,-19.35,728.01
49.209301,-123.377625,685.8,-19.36,705.16
49.208416,-123.369888,655.32,-19.38,674.7
49.207626,-123.362732,624.84,-19.39,644.23
49.206802,-123.355476,594.36,-19.4,613.76
49.205612,-123.344917,556.26,-19.42,575.68
49.204834,-123.337875,525.78,-19.44,545.22
49.203964,-123.330338,495.3,-19.45,514.75
49.203186,-123.323296,472.44,-19.46,491.9
49.202457,-123.31662,449.58,-19.48,469.06
49.201527,-123.309105,419.1,-19.49,438.59
49.20076,-123.302444,388.62,-19.5,408.12
49.199753,-123.293434,358.14,-19.52,377.66
49.198975,-123.286392,335.28,-19.53,354.81
49.198334,-123.280266,304.8,-19.54,324.34
49.197617,-123.273758,274.32,-19.55,293.87
49.196869,-123.267448,251.46,-19.56,271.02
49.196182,-123.261528,236.22,-19.57,255.79
49.195522,-123.255829,213.36,-19.58,232.94
49.194809,-123.249557,190.5,-19.59,210.09
49.194122,-123.243851,160.02,-19.6,179.62
49.193436,-123.237724,137.16,-19.61,156.77
49.192822,-123.231911,121.92,-19.62,141.54
49.192123,-123.225906,99.06,-19.63,118.69
49.191467,-123.220047,76.2,-19.63,95.83
49.190781,-123.214279,53.34,-19.64,72.98
49.190094,-123.208359,30.48,-19.65,50.13
49.189423,-123.202057,7.62,-19.65,27.27
49.188766,-123.196175,0,-19.66,19.66
49.188126,-123.19075,0,-19.67,19.67
49.187653,-123.186409,0,-19.67,19.67
49.187328,-123.183426,0,-19.67,19.67
49.187096,-123.18132,0,-19.68,19.68
49.186901,-123.179626,0,-19.68,19.68
49.186768,-123.178169,0,-19.68,19.68
49.186741,-123.177673,0,-19.68,19.68
49.186741,-123.177429,0,-19.68,19.68
49.186745,-123.177193,0,-19.68,19.68
49.186752,-123.176918,0,-19.68,19.68
49.186775,-123.176666,0,-19.68,19.68
49.186802,-123.176323,0,-19.68,19.68
49.18689,-123.175804,0,-19.68,19.68
49.186932,-123.175568,0,-19.68,19.68
49.186977,-123.175331,0,-19.68,19.68
49.187027,-123.175087,0,-19.68,19.68
49.187199,-123.174355,0,-19.68,19.68
49.187294,-123.173973,0,-19.68,19.68
49.187359,-123.173714,0,-19.68,19.68
49.187439,-123.173355,0,-19.68,19.68
49.1875,-123.173126,0,-19.68,19.68
49.187622,-123.17292,0,-19.68,19.68
49.187828,-123.172775,0,-19.68,19.68
49.188091,-123.172852,0,-19.67,19.67
49.188225,-123.173111,0,-19.67,19.67
49.188282,-123.173347,0,-19.67,19.67
49.188309,-123.173584,0,-19.67,19.67
49.188343,-123.173836,0,-19.67,19.67
49.188377,-123.174133,0,-19.67,19.67
49.188408,-123.174431,0,-19.67,19.67
49.188446,-123.174698,0,-19.67,19.67
49.188515,-123.175346,0,-19.67,19.67
49.188606,-123.176102,0,-19.67,19.67
49.18869,-123.176811,0,-19.67,19.67
49.188778,-123.17762,0,-19.67,19.67
49.188862,-123.178383,0,-19.67,19.67
49.188961,-123.179291,0,-19.67,19.67
49.18906,-123.180138,0,-19.67,19.67
49.189167,-123.181061,0,-19.67,19.67
49.189281,-123.182076,0,-19.67,19.67
49.189388,-123.183014,0,-19.66,19.66
49.189476,-123.1838,0,-19.66,19.66
49.189522,-123.184067,0,-19.66,19.66
49.189587,-123.184296,0,-19.66,19.66
49.189678,-123.184532,0,-19.66,19.66
49.189854,-123.184799,0,-19.66,19.66
49.190048,-123.185028,0,-19.66,19.66
49.190273,-123.185287,0,-19.66,19.66
49.190479,-123.185562,0,-19.66,19.66
49.190701,-123.185822,0,-19.66,19.66
49.190933,-123.186104,0,-19.66,19.66
49.191387,-123.186646,0,-19.65,19.65
49.191936,-123.187202,0,-19.65,19.65
49.192154,-123.187271,0,-19.65,19.65
49.19239,-123.187241,0,-19.65,19.65
49.192657,-123.187164,0,-19.65,19.65
49.192898,-123.187111,0,-19.65,19.65
49.193161,-123.187042,0,-19.65,19.65
49.193462,-123.186951,0,-19.64,19.64
49.19368,-123.186913,0,-19.64,19.64
49.193974,-123.187019,0,-19.64,19.64
49.194248,-123.187195,0,-19.64,19.64
49.194477,-123.187286,0,-19.64,19.64
49.194893,-123.187279,0,-19.64,19.64
49.195141,-123.187218,0,-19.64,19.64
49.195404,-123.187141,0,-19.64,19.64
49.195702,-123.187057,0,-19.63,19.63
49.195938,-123.187004,0,-19.63,19.63
49.196323,-123.186882,0,-19.63,19.63
49.19656,-123.186775,0,-19.63,19.63
49.1968,-123.186623,0,-19.63,19.63
49.197075,-123.186424,0,-19.63,19.63
49.197323,-123.186211,0,-19.63,19.63
49.197582,-123.185989,0,-19.63,19.63
49.198174,-123.185715,0,-19.62,19.62
49.198719,-123.185562,0,-19.62,19.62
49.19894,-123.185509,0,-19.62,19.62
49.199173,-123.185432,0,-19.62,19.62
49.199467,-123.185364,0,-19.62,19.62
49.19981,-123.18528,0,-19.62,19.62
49.200188,-123.185165,0,-19.61,19.61
49.200584,-123.185074,0,-19.61,19.61
49.200977,-123.184891,0,-19.61,19.61
49.201115,-123.184647,0,-19.61,19.61
49.201141,-123.184387,0,-19.61,19.61
49.201118,-123.184074,0,-19.61,19.61
49.201084,-123.183678,0,-19.61,19.61
49.201057,-123.183426,0,-19.61,19.61
49.201027,-123.183174,0,-19.61,19.61
49.200954,-123.182594,0,-19.61,19.61
49.200932,-123.182373,0,-19.61,19.61
49.200909,-123.182106,0,-19.61,19.61
49.200874,-123.181808,0,-19.61,19.61
49.20084,-123.181511,0,-19.61,19.61
49.200745,-123.180717,0,-19.61,19.61
49.200657,-123.179893,0,-19.61,19.61
49.200546,-123.178986,0,-19.61,19.61
49.200439,-123.17804,0,-19.62,19.62
49.200329,-123.177063,0,-19.62,19.62
49.200211,-123.176033,0,-19.62,19.62
49.200047,-123.174606,0,-19.62,19.62
49.199924,-123.173538,0,-19.62,19.62
49.199825,-123.172676,0,-19.62,19.62
49.199707,-123.171738,0,-19.62,19.62
49.199581,-123.171478,0,-19.62,19.62
49.199295,-123.171371,0,-19.62,19.62
49.198814,-123.171738,0,-19.63,19.63
49.198593,-123.171829,0,-19.63,19.63
49.198372,-123.17186,0,-19.63,19.63
49.198093,-123.171883,0,-19.63,19.63
49.19783,-123.171898,0,-19.63,19.63
49.197624,-123.171898,0,-19.63,19.63
49.197418,-123.171898,0,-19.63,19.63
49.197189,-123.171898,0,-19.63,19.63
49.196903,-123.171951,0,-19.63,19.63
49.196686,-123.172096,0,-19.64,19.64
49.196548,-123.172318,0,-19.64,19.64
49.196487,-123.172729,0,-19.64,19.64
49.196503,-123.172974,0,-19.64,19.64
49.19651,-123.173203,0,-19.64,19.64
